1,Taribo,This is life my moard,1000.00
2,Whether for even,Whether for even. Whether for even. Whether for even,500.00
3,The Gold Man,This is a synopsis,2000.00
4,22,,11.00
5,The Copper Girl,Trinadio of passion,5000.00
6,tttt,rrrr,100.00
7,The Time is Now,We march in to the prairies at dawn,3000.00
8,Webst ,wonderful God,50.00
9,Whe,sdfsfs,6.00
10,Time is ek,westfield,30.00
11,Trinidad and Tobago,First nationals,3000.00
12,Nightking,Winter is here,90.00
13,Time,Is on my side,70.00
14,Tripartite,West bound,4000.00
15,Tipisirus,Weding gues,33.00
16,This is the good beginning,I will thrive excellently,5000.00
